"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.685071638E1,6.505424353E1,2.546619424E1,8.466486880E0,7.099999785E-1,2.905000000E2,3.790092468E0,2.500000000E0
7.785012950E1,6.505424131E1,2.546617487E1,7.642511063E0,8.799999952E-1,2.586000061E2,3.790092468E0,2.500000000E0
7.884313711E1,6.505425416E1,2.546614506E1,7.283127978E0,2.130000114E0,3.232000122E2,3.790092468E0,2.500000000E0
7.985064711E1,6.505425504E1,2.546610843E1,7.645184297E0,1.639999986E0,2.742000122E2,3.790092468E0,2.500000000E0
8.084472393E1,6.505425641E1,2.546607054E1,6.500221251E0,1.679999948E0,2.820000000E2,3.790092468E0,2.500000000E0
8.184750195E1,6.505425152E1,2.546602221E1,6.438694552E0,2.170000076E0,2.575000000E2,3.790092468E0,2.500000000E0
8.284877747E1,6.505425311E1,2.546597838E1,5.962737139E0,1.990000010E0,2.775000000E2,3.790092468E0,2.500000000E0
8.384843361E1,6.505425445E1,2.546593490E1,5.138513257E0,1.970000029E0,2.733999939E2,3.790092468E0,2.500000000E0
8.484651398E1,6.505425704E1,2.546589026E1,4.430743851E0,2.069999933E0,2.792999878E2,3.790092468E0,2.500000000E0
8.584521950E1,6.505425243E1,2.546583524E1,3.770522488E0,2.609999895E0,2.587000122E2,3.790092468E0,2.500000000E0
8.684631096E1,6.505425107E1,2.546577776E1,3.590280087E0,2.490000010E0,2.681000061E2,3.790092468E0,2.500000000E0
8.784608538E1,6.505425050E1,2.546571121E1,3.855287884E0,2.670000076E0,2.672999878E2,3.790092468E0,2.500000000E0
8.884612721E1,6.505424941E1,2.546564922E1,3.379024393E0,2.579999924E0,2.680000000E2,3.790092468E0,2.500000000E0
8.984716174E1,6.505424223E1,2.546559372E1,3.373100840E0,2.640000105E0,2.510000000E2,3.790092468E0,2.500000000E0
9.085136132E1,6.505422668E1,2.546555198E1,4.127985180E0,2.150000095E0,2.271000061E2,3.790092468E0,2.500000000E0
9.184594434E1,6.505420923E1,2.546551718E1,4.310239151E0,2.140000105E0,2.186999969E2,3.790092468E0,2.500000000E0
9.284852403E1,6.505418890E1,2.546548138E1,4.797059551E0,2.230000019E0,2.133999939E2,3.790092468E0,2.500000000E0
9.385033507E1,6.505416390E1,2.546544693E1,5.772407276E0,2.420000076E0,2.026999969E2,3.790092468E0,2.500000000E0
9.484323939E1,6.505414017E1,2.546541438E1,6.516736651E0,2.380000114E0,2.050000000E2,3.790092468E0,2.500000000E0
9.585165772E1,6.505411605E1,2.546538806E1,6.620624943E0,2.400000095E0,2.005000000E2,3.790092468E0,2.500000000E0
9.684502215E1,6.505409348E1,2.546536538E1,7.422144865E0,2.309999943E0,2.031000061E2,3.790092468E0,2.500000000E0
9.785037955E1,6.505407088E1,2.546535541E1,7.892916634E0,2.289999962E0,1.911000061E2,3.790092468E0,2.500000000E0
9.885034111E1,6.505406265E1,2.546535679E1,7.904272476E0,7.799999714E-1,1.776000061E2,3.790092468E0,2.500000000E0
9.984889694E1,6.505405004E1,2.546535694E1,8.627543930E0,1.500000000E0,1.816000061E2,3.790092468E0,2.500000000E0
1.008496109E2,6.505403722E1,2.546535816E1,8.724533839E0,1.379999995E0,1.793000031E2,3.790092468E0,2.500000000E0
1.018487544E2,6.505402578E1,2.546535855E1,9.108937682E0,1.299999952E0,1.783000031E2,3.790092468E0,2.500000000E0
1.028503818E2,6.505402127E1,2.546536430E1,8.506400959E0,8.000000119E-1,1.585000000E2,3.790092468E0,2.500000000E0
1.038447639E2,6.505401883E1,2.546536834E1,8.419549296E0,4.300000072E-1,1.548000031E2,3.790092468E0,2.500000000E0
1.048502977E2,6.505401343E1,2.546537061E1,8.379573580E0,7.099999785E-1,1.633000031E2,3.790092468E0,2.500000000E0
1.058486324E2,6.505400528E1,2.546537049E1,8.787169466E0,8.600000143E-1,1.700000000E2,3.790092468E0,2.500000000E0
1.068499858E2,6.505399774E1,2.546538000E1,8.613345241E0,9.499999881E-1,1.433999939E2,3.790092468E0,2.500000000E0
1.078451351E2,6.505399034E1,2.546540449E1,8.896248624E0,1.460000038E0,1.073000031E2,3.790092468E0,2.500000000E0
1.088498655E2,6.505397611E1,2.546541283E1,8.990676351E0,1.840000033E0,1.643000031E2,3.790092468E0,2.500000000E0
1.098473830E2,6.505396564E1,2.546541128E1,8.709369167E0,1.269999981E0,1.743999939E2,3.790092468E0,2.500000000E0
1.108436625E2,6.505395203E1,2.546540856E1,8.789208082E0,1.440000057E0,1.793999939E2,3.790092468E0,2.500000000E0
