"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.865824640E-1,9.299098253E-1,7.174005508E-1,2.464396954E-1
5.916006410E-1,6.579740047E-1,8.393812180E-1,-8.841323853E-2
5.966188180E-1,3.570419252E-1,8.989143372E-1,-4.992978573E-1
6.016369950E-1,1.310460120E-1,1.048880577E0,-1.110176325E0
6.067721000E-1,-1.135661602E-1,1.151379585E0,-1.678882718E0
6.117902770E-1,-4.699992239E-1,1.128660202E0,-2.004594326E0
6.168085060E-1,-8.661897182E-1,1.036699295E0,-2.011892796E0
6.218266830E-1,-1.119278669E0,9.095077515E-1,-1.827501059E0
6.268448600E-1,-1.221046686E0,7.853765488E-1,-1.614444852E0
6.318630370E-1,-1.224951744E0,6.498479843E-1,-1.291581631E0
6.370618390E-1,-1.233993292E0,5.056705475E-1,-8.675727844E-1
6.420800680E-1,-1.137051344E0,2.874183655E-1,-2.395770550E-1
6.470982450E-1,-1.031709433E0,1.477422714E-1,7.287039757E-1
6.521164750E-1,-8.010108471E-1,8.294868469E-2,1.566165447E0
6.571346000E-1,-3.218876123E-1,1.059989929E-1,2.225981951E0
6.621527770E-1,7.607546449E-2,1.942510605E-1,2.741944313E0
6.673421520E-1,2.988214493E-1,2.400903702E-1,3.139364958E0
6.723653290E-1,5.251696110E-1,3.255710602E-1,3.410722733E0
6.773885580E-1,7.315713167E-1,4.527654648E-1,3.464108467E0
6.824117870E-1,7.466573119E-1,5.760211945E-1,3.237226486E0
6.874349640E-1,5.354359746E-1,6.457014084E-1,2.752767324E0
6.924581930E-1,2.014386058E-1,5.818986893E-1,2.101666689E0
6.976019430E-1,-2.238690853E-1,5.193986893E-1,1.347660780E0
7.026251200E-1,-6.551323533E-1,4.802646637E-1,5.823998451E-1
7.076483500E-1,-9.137397408E-1,4.056510925E-1,-9.844088554E-2
7.126715790E-1,-1.212796211E0,3.297119141E-1,-6.994388103E-1
7.176947560E-1,-1.474063039E0,2.957630157E-1,-1.239231110E0
7.227179850E-1,-1.481171608E0,3.750934601E-1,-1.619103670E0
7.278622560E-1,-1.276424646E0,5.407609940E-1,-1.873682618E0
7.328854330E-1,-1.032277703E0,6.611537933E-1,-1.946320415E0
7.379086620E-1,-7.748238444E-1,8.007898331E-1,-1.833461881E0
7.429318910E-1,-5.583635569E-1,9.403352737E-1,-1.638170719E0
7.479550680E-1,-3.133071065E-1,9.868764877E-1,-1.434270859E0
7.529782970E-1,1.286178827E-2,1.002737999E0,-1.128522396E0
7.581205890E-1,2.322513759E-1,1.007257462E0,-7.383735180E-1
7.631437660E-1,3.677757978E-1,1.054668427E0,-3.318870068E-1
7.681669950E-1,5.178187490E-1,1.132677078E0,1.979374886E-2
7.731902250E-1,6.015800238E-1,1.117433548E0,4.814076424E-2
7.782134020E-1,6.908268929E-1,1.135761261E0,1.143703461E-1
7.832366310E-1,8.024259806E-1,1.125414848E0,2.519462109E-1
7.883788180E-1,9.510802031E-1,1.124687195E0,4.461205006E-1
7.934019950E-1,9.604048729E-1,1.140186310E0,5.786273479E-1
7.984252250E-1,9.168505073E-1,1.131609917E0,5.635919571E-1
8.034484540E-1,8.894549608E-1,1.094279289E0,4.901664257E-1
8.084716310E-1,7.829399109E-1,1.016602516E0,4.417347908E-1
8.134948600E-1,6.115598679E-1,9.677963257E-1,3.801026344E-1
8.186375160E-1,4.638022482E-1,1.002520561E0,3.003339767E-1
8.236606930E-1,3.006201088E-1,9.272832870E-1,2.813634872E-1
